Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.000004,0.000003,0.002605,0.000000,0.000000,0.000000,0.997388,0.047316,0.051290,0.694798,0.121525,0.071809,0.013263,0.153029,0.797271,0.049701,1.476444e-01,3.676836e-01,0_a_a.wav
0.001765,0.107574,0.003542,0.004003,0.002175,0.012042,0.868898,0.040351,0.217915,0.080602,0.016937,0.027321,0.616874,0.033096,0.656084,0.310820,-4.230989e-02,-4.012586e-02,0_b_a.wav
0.000005,0.000005,0.003151,0.000000,0.000000,0.000000,0.996839,0.037453,0.025062,0.629139,0.081969,0.209901,0.016477,0.089435,0.893405,0.017159,9.535891e-02,3.373807e-01,100_a_q.wav
0.000334,0.000106,0.089250,0.000015,0.000135,0.000040,0.910122,0.100231,0.242222,0.422663,0.018991,0.179631,0.036262,0.014258,0.945718,0.040024,8.939171e-02,1.052632e-02,101_a_q.wav
0.000011,0.000004,0.035261,0.000001,0.000004,0.000000,0.964719,0.046713,0.150758,0.681182,0.020517,0.066296,0.034533,0.036848,0.951542,0.011610,2.040250e-01,1.628088e-01,102_a_a.wav
0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.999998,0.049185,0.025814,0.576243,0.135135,0.206881,0.006742,0.169328,0.769700,0.060972,3.191802e-01,5.472966e-01,102_b_a.wav
0.000183,0.000227,0.022739,0.000009,0.000012,0.000015,0.976814,0.105234,0.230100,0.528028,0.021550,0.077972,0.037116,0.032231,0.814681,0.153088,3.202872e-01,2.009756e-01,103_a_q.wav
0.000101,0.000015,0.610082,0.000005,0.000053,0.000001,0.389744,0.158872,0.317314,0.353272,0.027423,0.087321,0.055798,0.004033,0.639829,0.356139,2.186108e-01,1.050682e-01,104_a_q.wav
0.000414,0.000673,0.047032,0.000035,0.000233,0.000078,0.951536,0.154070,0.489457,0.119665,0.039862,0.098082,0.098864,0.021443,0.945441,0.033116,5.743564e-02,1.475610e-01,105_a_a.wav
0.000015,0.000018,0.006232,0.000001,0.000003,0.000001,0.993730,0.126633,0.298113,0.337370,0.058937,0.103631,0.075315,0.037379,0.958267,0.004354,9.446316e-02,2.878300e-01,105_b_a.wav
0.000011,0.000009,0.004605,0.000000,0.000000,0.000000,0.995373,0.046617,0.088405,0.647101,0.088388,0.097096,0.032394,0.068862,0.920721,0.010417,1.295261e-01,3.485851e-01,105_c_a.wav
0.000078,0.000074,0.012302,0.000003,0.000006,0.000004,0.987533,0.107950,0.301690,0.362016,0.056333,0.109067,0.062945,0.067119,0.921540,0.011341,6.990728e-02,2.088487e-01,105_d_a.wav
0.000012,0.000001,0.001150,0.000000,0.000007,0.000002,0.998828,0.052104,0.220951,0.143708,0.070336,0.129394,0.383508,0.034615,0.951483,0.013902,-9.600489e-02,1.383016e-01,106_a_q.wav
0.000345,0.006969,0.001710,0.000184,0.000182,0.000806,0.989805,0.029288,0.352122,0.047466,0.046323,0.079326,0.445475,0.028853,0.952329,0.018817,-1.533940e-01,4.253961e-02,106_b_q.wav
0.000346,0.005895,0.035067,0.000101,0.000318,0.000482,0.957791,0.068630,0.390104,0.107761,0.038462,0.047450,0.347592,0.014947,0.550714,0.434339,7.428410e-02,6.856489e-02,107_a_q.wav
0.000205,0.005300,0.000966,0.000088,0.000138,0.000591,0.992713,0.021479,0.283550,0.055396,0.039381,0.063951,0.536243,0.030226,0.926267,0.043507,-1.207801e-01,1.020707e-01,108_a_q.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.073927,0.203867,0.175370,0.267450,0.181341,0.098044,0.226970,0.665296,0.107734,1.462390e-01,3.852452e-01,109_a_a.wav
0.000323,0.000738,0.003472,0.000330,0.000264,0.000107,0.994765,0.065236,0.521899,0.067916,0.061227,0.078068,0.205654,0.020730,0.811074,0.168196,-5.058596e-02,4.047867e-02,109_b_a.wav
0.000033,0.000022,0.006541,0.000001,0.000005,0.000001,0.993396,0.118789,0.356581,0.229381,0.107875,0.109672,0.077702,0.017721,0.820862,0.161417,1.602603e-01,2.412204e-01,109_c_a.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.068039,0.282389,0.171361,0.142922,0.107673,0.227617,0.106888,0.746346,0.146767,4.134176e-02,2.132598e-01,109_d_a.wav
0.000035,0.000040,0.009343,0.000002,0.000004,0.000003,0.990572,0.123997,0.278231,0.300709,0.058332,0.152888,0.085843,0.055199,0.928601,0.016200,9.518803e-02,2.146704e-01,10_a_a.wav
0.000021,0.000016,0.005779,0.000001,0.000006,0.000002,0.994176,0.138564,0.331843,0.168850,0.061488,0.195177,0.104079,0.033269,0.959147,0.007584,1.094817e-01,2.196181e-01,10_b_a.wav
0.000031,0.000004,0.002927,0.000000,0.000010,0.000000,0.997027,0.052038,0.352395,0.104410,0.099234,0.124159,0.267765,0.026846,0.958505,0.014649,-1.030869e-01,8.776715e-02,110_a_q.wav
0.000023,0.000029,0.007960,0.000002,0.000002,0.000002,0.991982,0.100904,0.372605,0.178895,0.093581,0.109286,0.144729,0.063975,0.703994,0.232031,3.367673e-02,2.836676e-01,111_a_q.wav
0.000015,0.000002,0.002082,0.000000,0.000003,0.000000,0.997898,0.103878,0.263537,0.155912,0.092893,0.134107,0.249674,0.039391,0.949034,0.011575,-1.437996e-02,2.501789e-01,113_a_q.wav
0.000096,0.000125,0.016566,0.000007,0.000002,0.000008,0.983197,0.096644,0.231659,0.372908,0.057900,0.161202,0.079688,0.014089,0.654960,0.330951,1.957630e-01,2.136056e-01,114_a_a.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999999,0.053098,0.039452,0.396648,0.242817,0.252958,0.015028,0.215720,0.666951,0.117328,2.282650e-01,4.505410e-01,114_b_a.wav
0.000020,0.000014,0.006334,0.000001,0.000000,0.000001,0.993630,0.031641,0.029737,0.685590,0.120401,0.114784,0.017847,0.162063,0.782280,0.055657,1.447039e-01,4.053991e-01,115_a_q.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.024750,0.067810,0.173939,0.273850,0.356992,0.102659,0.134888,0.785188,0.079924,-5.881039e-02,2.819738e-01,116_a_q.wav
0.000203,0.000012,0.040324,0.000008,0.000054,0.000004,0.959395,0.178345,0.347685,0.200973,0.047522,0.152901,0.072574,0.043214,0.926252,0.030534,4.737342e-02,1.445573e-01,117_a_a.wav
0.000602,0.001949,0.022445,0.000039,0.000220,0.000185,0.974560,0.127964,0.517450,0.107809,0.041083,0.101940,0.103754,0.015455,0.973103,0.011441,-3.280800e-03,6.206201e-02,117_b_a.wav
0.000288,0.000019,0.261419,0.000008,0.000090,0.000001,0.738175,0.182416,0.448468,0.182963,0.036682,0.084851,0.064621,0.030307,0.898697,0.070996,1.447822e-01,9.748415e-02,118_a_a.wav
0.001076,0.001974,0.599154,0.000104,0.000365,0.000157,0.397170,0.172538,0.473589,0.168150,0.032555,0.085111,0.068058,0.019507,0.880570,0.099924,7.053246e-02,-3.611678e-02,118_b_a.wav
0.000155,0.000881,0.002013,0.000027,0.000115,0.000115,0.996695,0.044381,0.402018,0.076798,0.042963,0.073360,0.360479,0.022415,0.954496,0.023089,-1.520318e-01,2.813176e-02,119_a_q.wav
0.000665,0.008017,0.028155,0.000171,0.000427,0.001120,0.961445,0.045662,0.563491,0.072457,0.048903,0.095539,0.173949,0.022315,0.895265,0.082421,-1.030807e-01,-3.505465e-03,120_a_q.wav
0.000592,0.000085,0.108640,0.000020,0.000125,0.000004,0.890535,0.159001,0.490852,0.103143,0.048221,0.067783,0.131001,0.015955,0.455582,0.528463,1.044276e-01,1.234280e-01,121_a_q.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.047249,0.049452,0.325661,0.432373,0.125761,0.019505,0.371002,0.337065,0.291932,3.209296e-01,6.914668e-01,122_a_a.wav
0.003540,0.034548,0.031249,0.001844,0.003498,0.003652,0.921670,0.108942,0.387705,0.120299,0.028806,0.043986,0.310262,0.011695,0.691109,0.297196,3.367918e-02,9.352430e-02,123_a_q.wav
0.000055,0.000008,0.046679,0.000004,0.000001,0.000001,0.953252,0.051414,0.101740,0.619209,0.040063,0.166684,0.020890,0.012348,0.987139,0.000513,1.757400e-01,2.720469e-01,124_a_a.wav
0.000021,0.000013,0.005129,0.000000,0.000010,0.000004,0.994823,0.068876,0.284749,0.427795,0.026791,0.092160,0.099629,0.037643,0.887480,0.074877,1.029640e-01,4.996084e-02,125_a_q.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.036095,0.024696,0.176802,0.467801,0.288032,0.006575,0.336726,0.371066,0.292207,3.240322e-01,8.207860e-01,126_a_a.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.086361,0.035443,0.263239,0.152684,0.440577,0.021695,0.223868,0.665529,0.110603,3.003077e-01,5.038413e-01,126_b_a.wav
