Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.002512,0.001862,0.144437,0.001235,0.001340,0.000104,0.848510,0.190462,0.418911,0.123080,0.039573,0.060761,0.167213,0.001287,0.015993,0.982720,3.100107e-01,-2.399654e-02,192_a_a.wav
0.005594,0.009385,0.413179,0.010919,0.009425,0.000613,0.550885,0.257369,0.448439,0.124180,0.037802,0.084579,0.047632,0.001250,0.019710,0.979040,2.911138e-01,-7.568308e-02,192_a_p.wav
0.003424,0.006929,0.163217,0.001225,0.001768,0.000377,0.823060,0.164336,0.449856,0.113788,0.037691,0.063357,0.170971,0.001374,0.019461,0.979165,2.765780e-01,5.494111e-02,192_b_a.wav
0.069875,0.139003,0.225678,0.071639,0.046270,0.021305,0.426230,0.320841,0.328139,0.167689,0.027834,0.039165,0.116332,0.001551,0.054594,0.943855,3.853989e-01,-1.530361e-02,192_b_p.wav
0.000404,0.000340,0.071035,0.000072,0.000371,0.000017,0.927761,0.178623,0.442968,0.116062,0.040397,0.065213,0.156737,0.000543,0.002036,0.997420,4.239564e-01,5.925650e-02,192_c_a.wav
0.005758,0.026247,0.100662,0.007902,0.006559,0.003056,0.849816,0.159648,0.502596,0.097846,0.033800,0.065033,0.141076,0.004731,0.161308,0.833961,1.614592e-01,-1.526582e-02,192_c_p.wav
0.009743,0.036144,0.171343,0.004482,0.005685,0.003127,0.769477,0.224961,0.414270,0.133056,0.033687,0.056615,0.137411,0.002710,0.149016,0.848274,2.911957e-01,-6.620600e-02,192_d_a.wav
0.002253,0.005161,0.028762,0.002877,0.001428,0.000320,0.959199,0.104727,0.271838,0.113558,0.033511,0.025539,0.450827,0.007988,0.078680,0.913332,8.200524e-02,7.233443e-03,193_a_q.wav
0.007885,0.004149,0.152280,0.004555,0.003764,0.000246,0.827121,0.282887,0.395221,0.116228,0.045261,0.070932,0.089470,0.006827,0.525896,0.467277,6.558984e-02,-6.950670e-02,194_a_q.wav
0.003784,0.006456,0.014762,0.002672,0.001569,0.000624,0.970133,0.119566,0.440148,0.087092,0.050033,0.099946,0.203216,0.009996,0.319029,0.670975,-2.542629e-02,-6.887122e-02,195_a_q.wav
0.004143,0.000882,0.151633,0.000632,0.002108,0.000065,0.840536,0.182451,0.499583,0.104990,0.040258,0.072003,0.100715,0.005336,0.436019,0.558645,1.297124e-01,3.273319e-02,196_a_q.wav
0.004123,0.015522,0.088884,0.002106,0.001884,0.001089,0.886391,0.149805,0.265326,0.159134,0.035228,0.041581,0.348926,0.015393,0.643433,0.341174,4.124883e-02,-1.218553e-02,197_a_a.wav
0.009135,0.033531,0.120658,0.004357,0.005507,0.004247,0.822564,0.148917,0.504416,0.105334,0.029217,0.044140,0.167977,0.007622,0.803604,0.188775,6.825380e-03,2.879945e-02,197_a_p.wav
0.000038,0.000013,0.005270,0.000001,0.000015,0.000001,0.994662,0.100778,0.215984,0.161225,0.059779,0.059434,0.402801,0.033482,0.769746,0.196772,2.367776e-02,1.424467e-01,197_b_a.wav
0.005346,0.016413,0.046260,0.003839,0.004142,0.002316,0.921682,0.149409,0.535282,0.089623,0.028855,0.048320,0.148511,0.009272,0.830461,0.160267,4.848540e-02,9.491839e-03,197_b_p.wav
0.000425,0.000952,0.024931,0.000216,0.000325,0.000073,0.973078,0.132053,0.227716,0.155962,0.037410,0.040050,0.406809,0.008737,0.164801,0.826462,1.262638e-01,6.344264e-02,197_c_p.wav
0.008246,0.043610,0.119756,0.005309,0.007007,0.012636,0.803436,0.232341,0.428306,0.168645,0.030396,0.055279,0.085033,0.007906,0.359725,0.632370,2.743712e-01,5.017721e-03,198_a_q.wav
0.001071,0.005330,0.020947,0.000281,0.000755,0.000798,0.970818,0.156477,0.342090,0.139574,0.037323,0.065019,0.259517,0.017684,0.495009,0.487307,1.364553e-01,1.019108e-01,199_a_q.wav
0.001573,0.016646,0.129376,0.000707,0.001036,0.001090,0.849572,0.130584,0.473577,0.102612,0.041174,0.058977,0.193077,0.006749,0.133602,0.859649,1.338383e-01,-1.112564e-02,200_a_a.wav
0.036194,0.174179,0.108180,0.038396,0.027272,0.017018,0.598761,0.186409,0.487136,0.112202,0.026302,0.041683,0.146268,0.007321,0.566739,0.425940,7.685154e-02,-2.396890e-02,200_a_p.wav
0.000354,0.000122,0.114262,0.000031,0.000147,0.000007,0.885079,0.124985,0.479970,0.105971,0.051189,0.073258,0.164628,0.011074,0.177177,0.811749,1.373893e-01,3.839534e-02,200_b_a.wav
0.000156,0.000437,0.012510,0.000051,0.000121,0.000024,0.986701,0.141249,0.281304,0.133176,0.055181,0.061390,0.327700,0.010779,0.248293,0.740928,2.298183e-01,1.069391e-01,200_b_p.wav
0.001916,0.000893,0.098563,0.000484,0.000934,0.000050,0.897159,0.171203,0.439488,0.110595,0.049759,0.055475,0.173481,0.009621,0.649926,0.340453,1.671345e-01,5.036462e-02,200_c_p.wav
0.000731,0.004335,0.014171,0.000264,0.000588,0.000667,0.979243,0.123381,0.488709,0.104995,0.031751,0.082123,0.169042,0.019913,0.877055,0.103032,3.335759e-02,9.655620e-02,201_a_q.wav
0.002951,0.116944,0.029318,0.006011,0.004594,0.010161,0.830021,0.073138,0.483551,0.089698,0.027057,0.043895,0.282662,0.008844,0.094647,0.896510,1.784319e-01,2.393637e-02,202_a_q.wav
0.007506,0.051744,0.583333,0.002094,0.003777,0.005699,0.345847,0.214913,0.481672,0.125293,0.028618,0.078521,0.070983,0.011235,0.623722,0.365043,1.401308e-01,4.362827e-02,203_a_a.wav
0.004892,0.008390,0.535482,0.000619,0.001683,0.000653,0.448282,0.174852,0.574951,0.087461,0.030465,0.067746,0.064525,0.005505,0.517688,0.476807,1.175198e-01,1.130135e-01,203_a_p.wav
0.002677,0.023649,0.608054,0.000552,0.001259,0.002055,0.361754,0.176399,0.492360,0.112942,0.028949,0.056166,0.133185,0.012715,0.745056,0.242229,1.552418e-01,9.262973e-02,203_b_a.wav
0.039257,0.459414,0.131966,0.022086,0.029461,0.091331,0.226484,0.233135,0.490494,0.118687,0.024437,0.051930,0.081317,0.010520,0.644653,0.344827,1.654472e-01,9.281022e-02,203_b_p.wav
0.024858,0.124695,0.418201,0.012322,0.016836,0.028891,0.374197,0.181096,0.559955,0.095494,0.026136,0.064529,0.072790,0.011686,0.697122,0.291192,1.056704e-01,1.342325e-02,203_c_a.wav
0.021518,0.113436,0.288428,0.011960,0.014947,0.032921,0.516791,0.181525,0.514110,0.105316,0.029204,0.085371,0.084474,0.009904,0.903371,0.086726,1.151309e-01,1.109381e-01,203_c_p.wav
0.000709,0.013346,0.010686,0.000138,0.000479,0.001584,0.973057,0.060200,0.505138,0.098418,0.027272,0.058468,0.250504,0.047697,0.837433,0.114870,3.131618e-02,-5.054294e-03,204_a_q.wav
0.000008,0.000002,0.002009,0.000000,0.000007,0.000001,0.997973,0.062261,0.262717,0.185801,0.062764,0.116278,0.310179,0.088009,0.885496,0.026495,7.630549e-03,2.941167e-02,205_a_q.wav
0.000062,0.000011,0.004805,0.000002,0.000022,0.000001,0.995098,0.097509,0.338880,0.151219,0.054313,0.087244,0.270835,0.112715,0.739640,0.147644,1.107986e-01,1.392901e-01,206_a_q.wav
0.001690,0.000223,0.457322,0.000039,0.000481,0.000015,0.540230,0.251905,0.383592,0.177300,0.036657,0.088027,0.062519,0.007794,0.910725,0.081480,3.287278e-01,1.059981e-01,207_a_a.wav
0.004024,0.000787,0.861963,0.000112,0.000982,0.000054,0.132079,0.265229,0.405130,0.167543,0.034169,0.063963,0.063965,0.002407,0.586307,0.411286,2.871573e-01,2.560667e-02,207_a_p.wav
0.020956,0.106591,0.623000,0.009630,0.016769,0.014781,0.208273,0.285851,0.353671,0.187639,0.035484,0.055225,0.082130,0.001668,0.209337,0.788996,2.545567e-01,-6.806648e-02,207_b_a.wav
0.138245,0.276082,0.256303,0.039076,0.070999,0.041332,0.177963,0.428303,0.306426,0.159302,0.019489,0.043936,0.042544,0.001447,0.270841,0.727712,2.624582e-01,-6.450679e-02,207_b_p.wav
0.015774,0.010613,0.722910,0.001014,0.003787,0.000761,0.245142,0.270029,0.405307,0.158604,0.031055,0.074642,0.060363,0.004249,0.681856,0.313894,1.818346e-01,2.145483e-03,207_c_a.wav
0.031209,0.080473,0.738681,0.007858,0.020988,0.008948,0.111843,0.306317,0.346782,0.189032,0.033068,0.047280,0.077521,0.003186,0.532448,0.464366,2.659308e-01,3.403353e-02,207_c_p.wav
0.000050,0.000103,0.063597,0.000007,0.000054,0.000007,0.936183,0.107904,0.479709,0.122450,0.039999,0.094074,0.155863,0.048298,0.681300,0.270402,1.505270e-01,1.267636e-01,208_a_q.wav
0.000881,0.007401,0.078908,0.000145,0.000594,0.000623,0.911448,0.157405,0.494303,0.111715,0.035962,0.079547,0.121068,0.018234,0.714577,0.267189,9.961842e-02,4.748039e-02,209_a_q.wav
