Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.015207,0.043832,0.110879,0.006380,0.008699,0.006839,0.808164,0.195159,0.504026,0.114570,0.029057,0.073027,0.084161,0.008412,0.854364,0.137224,6.787785e-02,3.103796e-02,0_a_a.wav
0.001765,0.107574,0.003542,0.004003,0.002175,0.012042,0.868898,0.040351,0.217915,0.080602,0.016937,0.027321,0.616874,0.033096,0.656084,0.310820,-4.230989e-02,-4.012586e-02,0_b_a.wav
0.002319,0.001360,0.275026,0.000123,0.001068,0.000227,0.719877,0.130983,0.414034,0.205355,0.021000,0.178766,0.049863,0.003339,0.989916,0.006745,-5.845978e-02,-8.334368e-02,100_a_q.wav
0.000334,0.000106,0.089250,0.000015,0.000135,0.000040,0.910122,0.100231,0.242222,0.422663,0.018991,0.179631,0.036262,0.014258,0.945718,0.040024,8.939171e-02,1.052632e-02,101_a_q.wav
0.009149,0.074864,0.321503,0.003828,0.006701,0.014939,0.569016,0.168222,0.506919,0.141634,0.023973,0.068450,0.090804,0.005686,0.669089,0.325225,2.284079e-01,3.089831e-02,102_a_a.wav
0.000243,0.004381,0.183230,0.000052,0.000240,0.000524,0.811330,0.104183,0.325794,0.401247,0.018739,0.089073,0.060963,0.014320,0.923175,0.062505,1.557669e-01,1.126209e-01,102_b_a.wav
0.001232,0.008783,0.040624,0.000219,0.000945,0.001345,0.946852,0.184973,0.418389,0.147622,0.029576,0.092584,0.126854,0.009193,0.966920,0.023887,1.488781e-01,4.862973e-02,103_a_q.wav
0.035900,0.411627,0.155997,0.020447,0.032854,0.072970,0.270205,0.107932,0.610017,0.096446,0.020478,0.074065,0.091061,0.006723,0.780105,0.213173,-3.927279e-02,-2.562931e-01,104_a_q.wav
0.003888,0.011370,0.123527,0.000637,0.002043,0.001069,0.857466,0.177012,0.506488,0.112206,0.030887,0.067451,0.105956,0.011338,0.866081,0.122581,4.660744e-02,8.601998e-02,105_a_a.wav
0.001331,0.006727,0.025838,0.000225,0.000607,0.000883,0.964390,0.098288,0.471476,0.103689,0.036451,0.079732,0.210363,0.022127,0.907155,0.070718,-5.852894e-02,2.100760e-02,105_b_a.wav
0.001492,0.001214,0.069071,0.000140,0.000717,0.000101,0.927265,0.128195,0.564294,0.101053,0.035337,0.080576,0.090543,0.015926,0.941368,0.042706,1.964978e-02,8.308736e-02,105_c_a.wav
0.004256,0.027711,0.042338,0.001690,0.003417,0.004363,0.916225,0.149091,0.361383,0.132083,0.027553,0.044954,0.284936,0.017115,0.934081,0.048804,3.459891e-02,-8.588629e-03,105_d_a.wav
0.000012,0.000001,0.001150,0.000000,0.000007,0.000002,0.998828,0.052104,0.220951,0.143708,0.070336,0.129394,0.383508,0.034615,0.951483,0.013902,-9.600489e-02,1.383016e-01,106_a_q.wav
0.000345,0.006969,0.001710,0.000184,0.000182,0.000806,0.989805,0.029288,0.352122,0.047466,0.046323,0.079326,0.445475,0.028853,0.952329,0.018817,-1.533940e-01,4.253961e-02,106_b_q.wav
0.000346,0.005895,0.035067,0.000101,0.000318,0.000482,0.957791,0.068630,0.390104,0.107761,0.038462,0.047450,0.347592,0.014947,0.550714,0.434339,7.428410e-02,6.856489e-02,107_a_q.wav
0.000205,0.005300,0.000966,0.000088,0.000138,0.000591,0.992713,0.021479,0.283550,0.055396,0.039381,0.063951,0.536243,0.030226,0.926267,0.043507,-1.207801e-01,1.020707e-01,108_a_q.wav
0.000046,0.000007,0.002604,0.000009,0.000041,0.000006,0.997288,0.085597,0.475362,0.095428,0.058356,0.073482,0.211775,0.032428,0.895652,0.071920,5.531766e-03,5.527179e-02,109_a_a.wav
0.000323,0.000738,0.003472,0.000330,0.000264,0.000107,0.994765,0.065236,0.521899,0.067916,0.061227,0.078068,0.205654,0.020730,0.811074,0.168196,-5.058596e-02,4.047867e-02,109_b_a.wav
0.000851,0.000511,0.057498,0.000154,0.000828,0.000050,0.940108,0.146859,0.576884,0.093800,0.036385,0.063105,0.082966,0.010722,0.951385,0.037893,6.571501e-02,6.158145e-02,109_c_a.wav
