ID,VideoTitle,Name,Sex,Academic Status,VideoID,IsNativeSpeaker
197,"A Badge, Not a Barrier: Designing for- and Trhoughout Digital Badge Implementation",Caroline Pitt,Female,Grad Student,HxMSkH5ZpZI,Native Speaker
198,"Question in Badge, not a Barrier",,Male,,,Europ. Non-Native
199,"Question in Badge, not a Barrier",,Male,,,Native Speaker
200,A Change of Perspective: Designing Automated vehicle as New Social Actor in Public Space,Lenja Sorokin,Female,PhD,SmnSU4QceSk,Europ. Non-Native
201,Question in Change of Perspective,,Male,,,Europ. Non-Native
202,Question in Change of Perspective,,Female,,,Native Speaker
203,A Design Space for Gaze Interaction on HMD,Teresa Hirzle,Female,Grad Student,91VMIz6MAZ8,Europ. Non-Native
204,Question in Design Space for Gaze Interaction on HMD,,Male,,,Native Speaker
205,Question in Design Space for Gaze Interaction on HMD,,Male,,,Native Speaker
206,Question in Design Space for Gaze Interaction on HMD,,Male,,,Native Speaker
207,Analyzing Value Discovery in Design Decisions Through Ethicography,Sai Shruthi Chivukula,Female,Grad Student,3lV3YQUvyyY,Asian Non-Native
208,Question in Analyzing Value Discovery,,Female,,,Europ. Non-Native
209,Question in Analyzing Value Discovery,,Male,,,Native Speaker
210,Question in Analyzing Value Discovery,,Male,,,Europ. Non-Native
211,Apprise: Supporting the Critical-Agency of Victims of Human Trafficking in Thailand,Hannah Thinyane,Female,Grad Student,VZSn47dkw8Y,Native Speaker
212,Question in Apprise,,Male,,,Native Speaker
213,Question in Apprise,,Male,,,Native Speaker
214,Assisted Shifting of Electricity Use: Long Term Study of Managing Residential Heating,Rikke Hagensby Jensen,Female,PhD,giD37cbtetY,Europ. Non-Native
215,Question in Assisted Shifting of Electricity Use,,Female,,,Native Speaker
216,Question in Assisted Shifting of Electricity Use,,Male,,,Native Speaker
217,Question in Assisted Shifting of Electricity Use,,Male,,,Native Speaker
218,Question in Assisted Shifting of Electricity Use,,Male,,,Europ. Non-Native
219,Augmenting Couples' Communication with Lifelines: Shared Timelines of Mixed Contextual Information,Carla F. Griggio,Female,,wFb8w7mPEsQ,Europ. Non-Native
220,Question in Augmenting Couples' Communication,,Male,,,Europ. Non-Native
221,Beyond Behaviour: The Coach's Perspective on Technology in Health Coaching,Heleen Rutjes,Female,Grad Student,oxorAXoEmf8,Europ. Non-Native
222,Question in Beyond Behaviour,,Male,,,Native Speaker
223,Bringing Shades of Feminism to Human Centered Computing,Neha Kumar,Female,PhD,SN7xUEYCKmU,Native Speaker
224,Question in Bringing Shadeds of Feminism To HC Computing,,Female,,,Native Speaker
225,Question in Bringing Shadeds of Feminism To HC Computing,,Male,,,Native Speaker
226,Career Mentoring in Online Communities: Seeking and Receiving Advice from an Online Community,Maria Tomprou,Female,PhD,bP_XQz5v9Cc,Native Speaker
227,Question in Career Mentoring,,Female,,,Native Speaker
228,Question in Career Mentoring,,Male,,,Native Speaker
229,Caring for Vincent: A Chatbot for Self-Comparison,Minha Lee,Female,Grad Student,AQZo1JpxkcA,Native Speaker
230,Question in Caring for Vincent,,Female,,,Asian Non-Native
231,Question in Caring for Vincent,,Male,,,Native Speaker
232,Question in Caring for Vincent,,Female,,,Native Speaker
233,Question in Caring for Vincent,,Male,,,Native Speaker
234,Children's Reflection in Action with DIY,Silvia Torsi,Female,PhD,MvgGzZD-cQs,Europ. Non-Native
235,Question in Children's Reflection in Action with DIY,,Female,,,Native Speaker
236,Question in Children's Reflection in Action with DIY,,Female,,,Native Speaker
237,Communication Breakdowns Between Families and Alexa,Erin Beneteau,Female,Grad Student,OWheOorTI88,Native Speaker
238,Question in Communication Breakdown,,Female,,,Native Speaker
239,Comparing Data from Chatbot and Web Surveys,Soomin Kim,Female,Grad Student,IbdzG56UUTk,Asian Non-Native
240,Question in Comparing Data from Chatbot and Web Surveys,,Male,,,Asian Non-Native
241,Co-Performing Agent: Design for Building User-Agent Partnership in Learning and Adaptive Services,Da-jung Kim,Female,PhD,glSj2c315N4,Asian Non-Native
242,Question in Co-Performing,,Male,,,Europ. Non-Native
243,Designing an Informal Learning Curriculum to Develop 3D Modeling Knowledge,Srinjita Bhaduri,Female,Grad Student,9N1zyJ65Zhk,Asian Non-Native
244,Question in Designing an Informal Learning ,,Male,,,Native Speaker
245,Question in Designing an Informal Learning ,,Male,,,Europ. Non-Native
246,Designing Theory-Driven User-Centric Explainable AI,Danding Wang,Female,Grad Student,RS7jP-6AHck,Asian Non-Native
247,Question in Designing Tehory-Driven User-Centric Explainable AI,,Male,,,Native Speaker
248,Question in Designing Tehory-Driven User-Centric Explainable AI,,Male,,,Native Speaker
249,Question in Designing Tehory-Driven User-Centric Explainable AI,,Female,,,Native Speaker
250,Digital Behaviour Change Interventions to Break and Form Habits,Charlie Pinder,Female,PhD,83_ahNFFt1M,Native Speaker
251,Question in Digital Behaviour,,Male,,,Native Speaker
252,Question in Digital Behaviour,,Male,,,Native Speaker
253,Question in Digital Behaviour,,Female,,,Asian Non-Native
254,Effects of Participatory Evaluation,Katta Spiel,Female,PhD,cMXf91FWQGU,Native Speaker
255,Question in Effects of Participatory Evaluation,,Female,,,Native Speaker
256,Question in Effects of Participatory Evaluation,,Female,,,Native Speaker
257,Question in Effects of Participatory Evaluation,,Female,,,Native Speaker
258,Emotion Work in Experience-centred Design,Rachel E. Clarke,Female,PhD,dfZy625qb1M,Native Speaker
259,Question in Emotion Work in Experience-centred Design,,Male,,,Asian Non-Native
260,Question in Emotion Work in Experience-centred Design,,Female,,,Native Speaker
261,Question in Emotion Work in Experience-centred Design,,Male,,,Native Speaker
262,"Expression of Curiosity in Social Robots: Design, Perception and Effects on Behaviour",Jessy Ceha,Female,Grad Student,sQEO8m9S3_Q,Native Speaker
263,Question in Expression of Curiosity in Social Robots,,Male,,,Native Speaker
264,Question in Expression of Curiosity in Social Robots,,Male,,,Asian Non-Native
265,From Gender Biases to Gender-Inclusive Design: An Empirical Investigation,Mihaela Vorvoreanu,Female,PhD,WUiUwsVJ39c,Native Speaker
266,Question in From Gender Biases to Gender-Inclusive Design,,Female,,,Native Speaker
267,Question in From Gender Biases to Gender-Inclusive Design,,Female,,,Native Speaker
268,Question in From Gender Biases to Gender-Inclusive Design,,Female,,,Native Speaker
269,Geppetto: Enabling Semantic Design of Expressive Robot Behaviours,Ruta Desai,Female,PhD,B7_x0v_g8ZE,Asian Non-Native
270,Question in Geppetto,,Male,,,Native Speaker
271,Question in Geppetto,,Female,,,Native Speaker
272,HCI and Menopause: Designing With and Around the Aging Body,Agatha Tutia,Female,Grad Student,wDtIjySKaaU,Native Speaker
273,Question in HCI and Menopause,,Female,,,Native Speaker
274,Question in HCI and Menopause,,Female,,,Native Speaker
275,Question in HCI and Menopause,,Male,,,Native Speaker
276,"How to Work in the Car of the Future? A Neuroergonomical Study Assessing Concentration,...",Kathrin Pollman,Female,PhD,6FByK43a-AI,Europ. Non-Native
277,Question in How to Work in car of Future?,,Male,,,Native Speaker
278,Question in How to Work in car of Future?,,Female,,,Native Speaker
279,Question in How to Work in car of Future?,,Male,,,Europ. Non-Native
280,Question in How to Work in car of Future?,,Male,,,Native Speaker
281,i'sFree: Eyes-Free Gesture Typing via a Touch-Enabled Remote Control,Suwen Zhu,Female,PhD,hddqVTPiP38,Asian Non-Native
282,Question in i'sFree,,Male,,,Asian Non-Native
283,Lessons Learned from Research via Private Social Media Groups,Cassie Kresnye,Female,Grad Student,bwWrOZdxIsw,Native Speaker
284,Question in Lessons Learned from Research,,Female,,,Native Speaker
285,Question in Lessons Learned from Research,,Female,,,Native Speaker
286,Managerial Visions: Stories of Upgrading and Maintaining the Public Restroom with IoT,Sarah E. Fox,Female,PhD,63RiUC3mhpE,Native Speaker
287,Question in Managerial Visions,,Male,,,Native Speaker
288,Question in Managerial Visions,,Male,,,Native Speaker
289,May AI? Design Ideation with Cooperative Contextual Bandits,Janin Koch,Female,Grad Student,77-UFZZD3GQ,Europ. Non-Native
290,Question in May AI?,,Male,,,Native Speaker
291,Question in May AI?,,Male,,,Native Speaker
292,Question in May AI?,,Male,,,Native Speaker
293,Measuring and Understanding Photo Sharing Experiences in Social Virtual Reality,Jie Li,Female,PhD,XaGScDQIRdA,Asian Non-Native
294,Question in Measuring and Understanding Photo Sharing Experience in Social VR,,Female,,,Europ. Non-Native
295,Question in Measuring and Understanding Photo Sharing Experience in Social VR,,Female,,,Asian Non-Native
296,Metaphoria: An Algorithmic Companion for Metaphor Creation,Katy Gero,Female,Grad Student,kyFipX3y5Sk,Native Speaker
297,Question in Metaphoris,,Male,,,Native Speaker
298,Question in Metaphoris,,Male,,,Native Speaker
299,Navigating Ride-Sharing Regulations: How Regulations Changed the 'Gig' of Ride-Sharing for...,Anita Chen,Female,Grad Student,7cV4xlsEeks,Native Speaker
300,Question in Navigating Ride-Sharing Regulations,,Male,,,Europ. Non-Native
301,Question in Navigating Ride-Sharing Regulations,,Male,,,Native Speaker
302,Question in Navigating Ride-Sharing Regulations,,Female,,,Native Speaker
303,Neighborhood Perception in Bar Charts,Mingqian Zhao,Female,PhD,MkxIZNPbPkk,Asian Non-Native
304,Question in Neighborhood Perception in Bar Charts,,Male,,,Native Speaker
305,Question in Neighborhood Perception in Bar Charts,,Male,,,Native Speaker
306,Question in Neighborhood Perception in Bar Charts,,Male,,,Native Speaker
307,Of Mice and Pants: Queering the Conventional Gamer Mouse for Cooperative Play,Sabine Harrer,Female,PhD,njDAgaLvLfo,Europ. Non-Native
308,Question in Of Mice and Pants,,Female,,,Native Speaker
309,Question in Of Mice and Pants,,Female,,,Native Speaker
310,Older People Inventing their Personal Internet of Things with the IoT Un-Kit Experience,Aloha Hufana Ambe,Female,Grad Student,U3nOwgiEb3w,Asian Non-Native
311,Question in Older People Inventing their Personal IoT,,Male,,,Asian Non-Native
312,Question in Older People Inventing their Personal IoT,,Male,,,Native Speaker
313,"On the Internet, Nobody Knows You're a Dog.. Unless You're Another Dog",Ilyena Hirskyj-Douglas,Female,PhD,ClU087JidS4,Native Speaker
314,"Question in On the Internet, Nobody Knows You're A Dog",,Male,,,Native Speaker
315,"Question in On the Internet, Nobody Knows You're A Dog",,Female,,,Native Speaker
316,Opportunities for Automating Email Processing: A Need-Finding Study,Soya Park,Female,Grad Student,gQUIl3DMoyk,Asian Non-Native
317,Question in Opportunities for Automating Email Processing,,Female,,,Native Speaker
318,Question in Opportunities for Automating Email Processing,,Male,,,Native Speaker
319,Participatory Design of a Virtual Reality-Based Reentry Training with a Women's Prison,Melissa Q. Teng,Female,Grad Student,i7kipIN2K6k,Native Speaker
