ID,VideoTitle,Name,Sex,Academic Status,VideoID,IsNativeSpeaker
192,23 Ways to Nudge: Review of Technology-Mediated Nudging in HCI,Ana Caraban,Female,Grad Student,-U3Bo7KR108,Europ. Non-Native
193,Question in 23 Ways to Nudge,,Male,,-U3Bo7KR108,Native Speaker
194,Question in 23 Ways to Nudge,,Female,,-U3Bo7KR108,Asian Non-Native
195,Question in 23 Ways to Nudge,,Male,,-U3Bo7KR108,Europ. Non-Native
196,Question in 23 Ways to Nudge,,Male,,-U3Bo7KR108,Native Speaker
197,"A Badge, Not a Barrier: Designing for- and Trhoughout Digital Badge Implementation",Caroline Pitt,Female,Grad Student,HxMSkH5ZpZI,Native Speaker
198,"Question in Badge, not a Barrier",,Male,,HxMSkH5ZpZI,Europ. Non-Native
199,"Question in Badge, not a Barrier",,Male,,HxMSkH5ZpZI,Native Speaker
200,A Change of Perspective: Designing Automated vehicle as New Social Actor in Public Space,Lenja Sorokin,Female,PhD,SmnSU4QceSk,Europ. Non-Native
201,Question in Change of Perspective,,Male,,SmnSU4QceSk,Europ. Non-Native
202,Question in Change of Perspective,,Female,,SmnSU4QceSk,Native Speaker
203,A Design Space for Gaze Interaction on HMD,Teresa Hirzle,Female,Grad Student,91VMIz6MAZ8,Europ. Non-Native
204,Question in Design Space for Gaze Interaction on HMD,,Male,,91VMIz6MAZ8,Native Speaker
205,Question in Design Space for Gaze Interaction on HMD,,Male,,91VMIz6MAZ8,Native Speaker
206,Question in Design Space for Gaze Interaction on HMD,,Male,,91VMIz6MAZ8,Native Speaker
207,Analyzing Value Discovery in Design Decisions Through Ethicography,Sai Shruthi Chivukula,Female,Grad Student,3lV3YQUvyyY,Asian Non-Native
208,Question in Analyzing Value Discovery,,Female,,3lV3YQUvyyY,Europ. Non-Native
209,Question in Analyzing Value Discovery,,Male,,3lV3YQUvyyY,Native Speaker
210,Question in Analyzing Value Discovery,,Male,,3lV3YQUvyyY,Europ. Non-Native
211,Apprise: Supporting the Critical-Agency of Victims of Human Trafficking in Thailand,Hannah Thinyane,Female,Grad Student,VZSn47dkw8Y,Native Speaker
212,Question in Apprise,,Male,,VZSn47dkw8Y,Native Speaker
213,Question in Apprise,,Male,,VZSn47dkw8Y,Native Speaker
214,Assisted Shifting of Electricity Use: Long Term Study of Managing Residential Heating,Rikke Hagensby Jensen,Female,PhD,giD37cbtetY,Europ. Non-Native
215,Question in Assisted Shifting of Electricity Use,,Female,,giD37cbtetY,Native Speaker
216,Question in Assisted Shifting of Electricity Use,,Male,,giD37cbtetY,Native Speaker
217,Question in Assisted Shifting of Electricity Use,,Male,,giD37cbtetY,Native Speaker
218,Question in Assisted Shifting of Electricity Use,,Male,,giD37cbtetY,Europ. Non-Native
219,Augmenting Couples' Communication with Lifelines: Shared Timelines of Mixed Contextual Information,Carla F. Griggio,Female,,wFb8w7mPEsQ,Europ. Non-Native
220,Question in Augmenting Couples' Communication,,Male,,wFb8w7mPEsQ,Europ. Non-Native
221,Beyond Behaviour: The Coach's Perspective on Technology in Health Coaching,Heleen Rutjes,Female,Grad Student,oxorAXoEmf8,Europ. Non-Native
222,Question in Beyond Behaviour,,Male,,oxorAXoEmf8,Native Speaker
223,Bringing Shades of Feminism to Human Centered Computing,Neha Kumar,Female,PhD,SN7xUEYCKmU,Native Speaker
224,Question in Bringing Shadeds of Feminism To HC Computing,,Female,,SN7xUEYCKmU,Native Speaker
225,Question in Bringing Shadeds of Feminism To HC Computing,,Male,,SN7xUEYCKmU,Native Speaker
226,Career Mentoring in Online Communities: Seeking and Receiving Advice from an Online Community,Maria Tomprou,Female,PhD,bP_XQz5v9Cc,Native Speaker
227,Question in Career Mentoring,,Female,,bP_XQz5v9Cc,Native Speaker
228,Question in Career Mentoring,,Male,,bP_XQz5v9Cc,Native Speaker
229,Caring for Vincent: A Chatbot for Self-Comparison,Minha Lee,Female,Grad Student,AQZo1JpxkcA,Native Speaker
230,Question in Caring for Vincent,,Female,,AQZo1JpxkcA,Asian Non-Native
231,Question in Caring for Vincent,,Male,,AQZo1JpxkcA,Native Speaker
232,Question in Caring for Vincent,,Female,,AQZo1JpxkcA,Native Speaker
233,Question in Caring for Vincent,,Male,,AQZo1JpxkcA,Native Speaker
234,Children's Reflection in Action with DIY,Silvia Torsi,Female,PhD,MvgGzZD-cQs,Europ. Non-Native
235,Question in Children's Reflection in Action with DIY,,Female,,MvgGzZD-cQs,Native Speaker
236,Question in Children's Reflection in Action with DIY,,Female,,MvgGzZD-cQs,Native Speaker
237,Communication Breakdowns Between Families and Alexa,Erin Beneteau,Female,Grad Student,OWheOorTI88,Native Speaker
238,Question in Communication Breakdown,,Female,,OWheOorTI88,Native Speaker
239,Comparing Data from Chatbot and Web Surveys,Soomin Kim,Female,Grad Student,IbdzG56UUTk,Asian Non-Native
240,Question in Comparing Data from Chatbot and Web Surveys,,Male,,IbdzG56UUTk,Asian Non-Native
241,Co-Performing Agent: Design for Building User-Agent Partnership in Learning and Adaptive Services,Da-jung Kim,Female,PhD,glSj2c315N4,Asian Non-Native
242,Question in Co-Performing,,Male,,glSj2c315N4,Europ. Non-Native
243,Designing an Informal Learning Curriculum to Develop 3D Modeling Knowledge,Srinjita Bhaduri,Female,Grad Student,9N1zyJ65Zhk,Asian Non-Native
244,Question in Designing an Informal Learning ,,Male,,9N1zyJ65Zhk,Native Speaker
245,Question in Designing an Informal Learning ,,Male,,9N1zyJ65Zhk,Europ. Non-Native
246,Designing Theory-Driven User-Centric Explainable AI,Danding Wang,Female,Grad Student,RS7jP-6AHck,Asian Non-Native
247,Question in Designing Tehory-Driven User-Centric Explainable AI,,Male,,RS7jP-6AHck,Native Speaker
248,Question in Designing Tehory-Driven User-Centric Explainable AI,,Male,,RS7jP-6AHck,Native Speaker
249,Question in Designing Tehory-Driven User-Centric Explainable AI,,Female,,RS7jP-6AHck,Native Speaker
250,Digital Behaviour Change Interventions to Break and Form Habits,Charlie Pinder,Female,PhD,83_ahNFFt1M,Native Speaker
251,Question in Digital Behaviour,,Male,,83_ahNFFt1M,Native Speaker
252,Question in Digital Behaviour,,Male,,83_ahNFFt1M,Native Speaker
253,Question in Digital Behaviour,,Female,,83_ahNFFt1M,Asian Non-Native
254,Effects of Participatory Evaluation,Katta Spiel,Female,PhD,cMXf91FWQGU,Native Speaker
255,Question in Effects of Participatory Evaluation,,Female,,cMXf91FWQGU,Native Speaker
256,Question in Effects of Participatory Evaluation,,Female,,cMXf91FWQGU,Native Speaker
257,Question in Effects of Participatory Evaluation,,Female,,cMXf91FWQGU,Native Speaker
258,Emotion Work in Experience-centred Design,Rachel E. Clarke,Female,PhD,dfZy625qb1M,Native Speaker
259,Question in Emotion Work in Experience-centred Design,,Male,,dfZy625qb1M,Asian Non-Native
260,Question in Emotion Work in Experience-centred Design,,Female,,dfZy625qb1M,Native Speaker
261,Question in Emotion Work in Experience-centred Design,,Male,,dfZy625qb1M,Native Speaker
262,"Expression of Curiosity in Social Robots: Design, Perception and Effects on Behaviour",Jessy Ceha,Female,Grad Student,sQEO8m9S3_Q,Native Speaker
263,Question in Expression of Curiosity in Social Robots,,Male,,sQEO8m9S3_Q,Native Speaker
264,Question in Expression of Curiosity in Social Robots,,Male,,sQEO8m9S3_Q,Asian Non-Native
265,From Gender Biases to Gender-Inclusive Design: An Empirical Investigation,Mihaela Vorvoreanu,Female,PhD,WUiUwsVJ39c,Native Speaker
266,Question in From Gender Biases to Gender-Inclusive Design,,Female,,WUiUwsVJ39c,Native Speaker
267,Question in From Gender Biases to Gender-Inclusive Design,,Female,,WUiUwsVJ39c,Native Speaker
268,Question in From Gender Biases to Gender-Inclusive Design,,Female,,WUiUwsVJ39c,Native Speaker
269,Geppetto: Enabling Semantic Design of Expressive Robot Behaviours,Ruta Desai,Female,PhD,B7_x0v_g8ZE,Asian Non-Native
270,Question in Geppetto,,Male,,B7_x0v_g8ZE,Native Speaker
271,Question in Geppetto,,Female,,B7_x0v_g8ZE,Native Speaker
272,HCI and Menopause: Designing With and Around the Aging Body,Agatha Tutia,Female,Grad Student,wDtIjySKaaU,Native Speaker
273,Question in HCI and Menopause,,Female,,wDtIjySKaaU,Native Speaker
274,Question in HCI and Menopause,,Female,,wDtIjySKaaU,Native Speaker
275,Question in HCI and Menopause,,Male,,wDtIjySKaaU,Native Speaker
276,"How to Work in the Car of the Future? A Neuroergonomical Study Assessing Concentration,...",Kathrin Pollman,Female,PhD,6FByK43a-AI,Europ. Non-Native
277,Question in How to Work in car of Future?,,Male,,6FByK43a-AI,Native Speaker
278,Question in How to Work in car of Future?,,Female,,6FByK43a-AI,Native Speaker
279,Question in How to Work in car of Future?,,Male,,6FByK43a-AI,Europ. Non-Native
280,Question in How to Work in car of Future?,,Male,,6FByK43a-AI,Native Speaker
